iter	Passed	Remaining
460	803	939
461	805	937
462	806	935
463	808	933
464	810	932
465	811	930
466	813	928
467	815	926
468	816	924
469	818	923
470	821	922
471	823	920
472	824	919
473	826	916
474	827	914
475	829	912
476	831	911
477	833	909
478	834	907
479	836	906
480	838	904
481	840	903
482	841	901
483	844	899
484	846	898
485	847	896
486	849	895
487	851	893
488	852	891
489	854	889
490	856	887
491	857	885
492	859	884
493	862	883
494	864	881
495	866	880
496	867	878
497	869	876
498	870	874
499	872	872
500	874	870
501	876	869
502	877	867
503	880	866
504	882	864
505	884	863
506	885	861
507	887	859
508	889	857
509	890	855
510	892	853
511	894	852
512	895	850
513	897	848
514	899	846
515	900	844
516	902	843
517	904	841
518	906	839
519	908	838
520	910	836
521	911	834
522	914	833
523	916	832
524	918	830
525	921	830
526	923	829
527	925	827
528	928	826
529	930	825
530	931	823
531	933	821
532	935	819
533	937	818
534	939	816
535	940	814
536	941	812
537	943	810
538	945	808
539	947	807
540	949	805
541	952	804
542	953	802
543	955	801
544	957	799
545	959	798
546	961	796
547	963	794
548	965	792
549	967	791
550	968	789
551	970	787
552	971	785
553	973	784
554	975	782
555	976	780
556	978	778
557	980	776
558	982	774
559	984	773
560	986	772
561	988	770
562	990	768
563	991	766
564	992	764
565	994	762
566	996	760
567	997	758
568	999	756
569	1001	755
570	1002	753
571	1004	751
572	1006	750
573	1007	748
574	1009	746
575	1011	744
576	1012	742
577	1014	740
578	1016	738
579	1017	737
580	1019	735
581	1021	733
582	1022	731
583	1024	729
584	1025	727
585	1027	725
586	1028	723
587	1030	721
588	1032	720
589	1033	718
590	1035	716
591	1036	714
592	1038	712
593	1039	710
594	1041	708
595	1043	707
596	1045	705
597	1046	703
598	1048	701
599	1049	699
600	1051	698
601	1053	696
602	1054	694
603	1056	692
604	1058	690
605	1060	689
606	1061	687
607	1063	685
608	1065	684
609	1067	682
610	1069	680
611	1071	679
612	1072	677
613	1075	675
614	1077	674
615	1078	672
616	1080	670
617	1082	668
618	1083	667
619	1085	665
620	1088	664
621	1090	662
622	1092	660
623	1093	659
624	1095	657
625	1096	655
626	1098	653
627	1099	651
628	1102	650
629	1104	648
630	1105	646
631	1107	645
632	1109	643
633	1111	641
634	1113	640
635	1115	638
636	1117	636
637	1119	635
638	1120	633
639	1122	631
640	1123	629
641	1125	627
642	1128	626
643	1129	624
644	1130	622
645	1132	620
646	1134	618
647	1136	617
648	1138	615
649	1139	613
650	1141	611
651	1143	610
652	1144	608
653	1146	606
654	1148	604
655	1149	603
656	1151	601
657	1153	599
658	1155	597
659	1156	595
660	1158	593
661	1159	592
662	1161	590
663	1163	589
664	1166	587
665	1167	585
666	1169	583
667	1171	582
668	1173	580
669	1174	578
670	1176	576
671	1178	575
672	1181	573
673	1182	572
674	1184	570
675	1186	568
676	1188	566
677	1189	565
678	1191	563
679	1192	561
680	1195	559
681	1196	558
682	1198	556
683	1199	554
684	1201	552
685	1202	550
686	1204	548
687	1205	546
688	1207	544
689	1208	543
690	1210	541
691	1212	539
692	1214	538
693	1215	536
694	1217	534
695	1219	532
696	1220	530
697	1223	529
698	1225	527
699	1227	526
700	1229	524
701	1230	522
702	1232	520
703	1233	518
704	1235	516
705	1237	515
706	1239	513
707	1241	512
708	1243	510
709	1244	508
710	1246	506
711	1248	504
712	1249	503
713	1251	501
714	1253	499
715	1255	497
716	1256	496
717	1258	494
718	1259	492
719	1261	490
720	1263	488
721	1264	487
722	1266	485
723	1268	483
724	1270	481
725	1271	479
726	1273	478
727	1274	476
728	1276	474
729	1277	472
730	1279	470
731	1281	469
732	1282	467
733	1283	465
734	1285	463
735	1287	461
736	1288	459
737	1290	458
738	1291	456
739	1293	454
740	1295	452
741	1296	450
742	1298	449
743	1300	447
744	1301	445
745	1303	443
746	1305	442
747	1306	440
748	1308	438
749	1310	436
750	1312	435
751	1314	433
752	1315	431
753	1317	429
754	1318	427
755	1319	426
756	1321	424
757	1323	422
758	1325	420
759	1326	418
760	1328	417
761	1329	415
762	1331	413
763	1333	411
764	1335	410
765	1337	408
766	1339	406
767	1341	405
768	1342	403
769	1344	401
770	1345	399
771	1347	398
772	1349	396
773	1351	394
774	1352	392
775	1354	390
776	1355	389
777	1357	387
778	1358	385
779	1360	383
780	1362	382
781	1364	380
782	1365	378
783	1367	376
784	1369	374
785	1370	373
786	1371	371
787	1373	369
788	1375	367
789	1377	366
790	1378	364
791	1380	362
792	1382	360
793	1383	358
794	1385	357
795	1386	355
796	1388	353
797	1389	351
798	1391	350
799	1393	348
800	1395	346
801	1396	344
802	1398	342
803	1399	341
804	1401	339
805	1402	337
806	1405	336
807	1406	334
808	1409	332
809	1410	330
810	1412	329
811	1414	327
812	1416	325
813	1421	324
814	1423	323
815	1425	321
816	1427	319
817	1429	317
818	1430	316
819	1432	314
820	1433	312
821	1435	310
822	1437	309
823	1438	307
824	1440	305
825	1441	303
826	1443	301
827	1444	300
828	1447	298
829	1448	296
830	1449	294
831	1451	293
832	1452	291
833	1454	289
834	1456	287
835	1457	285
836	1459	284
837	1461	282
838	1463	280
839	1464	279
840	1466	277
841	1468	275
842	1470	273
843	1472	272
844	1475	270
845	1477	268
846	1479	267
847	1481	265
848	1483	263
849	1485	262
850	1487	260
851	1488	258
852	1490	256
853	1491	255
854	1493	253
855	1495	251
856	1497	249
857	1499	248
858	1501	246
859	1502	244
860	1504	242
861	1506	241
862	1508	239
863	1510	237
864	1512	236
865	1514	234
866	1515	232
867	1517	230
868	1519	229
869	1521	227
870	1523	225
871	1525	223
872	1527	222
873	1529	220
874	1530	218
875	1531	216
876	1533	215
877	1533	213
878	1534	211
879	1535	209
880	1537	207
881	1538	205
882	1540	204
883	1541	202
884	1542	200
885	1543	198
886	1544	196
887	1545	194
888	1546	193
889	1547	191
890	1548	189
891	1549	187
892	1550	185
893	1551	184
894	1552	182
895	1554	180
896	1555	178
897	1556	176
898	1557	174
899	1558	173
900	1559	171
901	1560	169
902	1561	167
903	1562	165
904	1563	164
905	1564	162
906	1565	160
907	1565	158
908	1566	156
909	1567	155
910	1568	153
911	1569	151
912	1571	149
913	1572	147
914	1573	146
915	1574	144
916	1575	142
917	1575	140
918	1577	139
919	1578	137
920	1579	135
921	1579	133
922	1580	131
923	1581	130
924	1582	128
925	1583	126
926	1584	124
927	1585	123
928	1587	121
929	1588	119
930	1589	117
931	1589	115
932	1590	114
933	1591	112
934	1592	110
935	1593	108
936	1593	107
937	1594	105
938	1595	103
939	1596	101
940	1596	100
941	1597	98
942	1598	96
943	1599	94
944	1600	93
945	1601	91
946	1602	89
947	1603	87
948	1604	86
949	1605	84
950	1606	82
951	1606	81
952	1607	79
953	1608	77
954	1609	75
955	1610	74
956	1610	72
957	1611	70
958	1612	68
959	1612	67
960	1613	65
961	1614	63
962	1615	62
963	1616	60
964	1617	58
965	1618	56
966	1619	55
967	1620	53
968	1620	51
969	1621	50
970	1622	48
971	1623	46
972	1623	45
973	1624	43
974	1625	41
975	1626	39
976	1627	38
977	1627	36
978	1628	34
979	1629	33
980	1630	31
981	1632	29
982	1633	28
983	1633	26
984	1634	24
985	1635	23
986	1636	21
987	1637	19
988	1637	18
989	1638	16
990	1639	14
991	1640	13
992	1640	11
993	1641	9
994	1642	8
995	1643	6
996	1643	4
997	1644	3
998	1645	1
999	1646	0
